,F1 (macro),ROC-AUC,PR-AUC,Recall (macro),Interpretability,Weighted Score
Baseline LR,0.5355220378629908,0.7617449535724833,0.9723790415388367,0.6931695361850811,1.0,0.7495440884875475
Tuned LR,0.5161131099936904,0.733145910121237,0.9681193209224523,0.6822723977770022,1.0,0.7340851343794572
Tuned XGBoost,0.5505093444847524,0.7341553873945743,0.9705111267379256,0.6685819375673592,0.6,0.7030811661767584
