model,split,recall,precision,f1,pr_auc,roc_auc,balanced_accuracy,tn,fp,fn,tp,w_recall,w_f1,w_pr_auc,w_balanced_accuracy,w_precision,selection_score
tuned_xgboost,test,0.6892778993435449,0.20805812417437253,0.319634703196347,0.29282709364713816,0.789739030877912,0.7169227161822114,3495,1199,142,315,0.34463894967177244,0.0639269406392694,0.04392406404707072,0.07169227161822114,0.010402906208718627,0.5345851321850523
tuned_logistic_regression,test,0.6761487964989059,0.21092150170648463,0.3215400624349636,0.2884803906288014,0.7860945440848646,0.7149384800560146,3538,1156,148,309,0.33807439824945296,0.06430801248699272,0.043272058594320206,0.07149384800560146,0.010546075085324232,0.5276943924216916
