model,f2_under,pr_auc,balanced_accuracy,precision_under,selection_score
Tuned Logistic Regression,0.4018383219420222,0.20554501200760064,0.6521650153508506,0.14120082815734988,0.3637347090724816
Tuned XGBoost,0.4147196261682243,0.22522165088059254,0.670969224644525,0.17794486215538846,0.38307883743965115
