variable,coded_non_informative_rate
COHAB,0.7115731842273866
EDUCAT3,0.2399382608189178
CINTOFT,0.05908905585648552
FINHARD,0.048109965635738834
QWORK,0.039722756130234724
SEX,0.01857999883510979
AGEBAND,0.017648086667831558
CHILDHH,0.002009435610693692
gor,0.0
rur11cat,0.0
