trial,colsample_bytree,learning_rate,max_depth,n_estimators,recall,precision,f1,pr_auc,roc_auc,balanced_accuracy
9,1.0,0.05,3,200,0.6827133479212254,0.20194174757281552,0.3116883116883117,0.2525955769552387,0.7680345690154292,0.7100187958183033
2,0.8,0.05,3,350,0.6783369803063457,0.20208604954367665,0.311401305876444,0.25753494499993873,0.7696731429573019,0.708789282654238
1,0.8,0.05,3,200,0.6739606126914661,0.19845360824742267,0.30662020905923343,0.2532090166284292,0.7681627647007818,0.7044707196392993
10,1.0,0.05,3,350,0.6673960612691466,0.20185307743216413,0.3099593495934959,0.2564325922600347,0.7694689621929945,0.7052361644223876
5,0.8,0.1,3,200,0.6673960612691466,0.2,0.3077699293642785,0.2519559734441152,0.7686037578583955,0.7037448989771382
14,1.0,0.1,3,350,0.6586433260393874,0.19960212201591512,0.3063613231552163,0.25387246515640693,0.7679138319881333,0.700753277847133
6,0.8,0.1,3,350,0.6564551422319475,0.20053475935828877,0.30721966205837176,0.2540652052991985,0.7683469003215614,0.7008308945075374
13,1.0,0.1,3,200,0.6477024070021882,0.19615639496355203,0.301119023397762,0.2510221756388123,0.7663740852655142,0.6946437045662837
11,1.0,0.05,5,200,0.6433260393873085,0.20123203285420946,0.30656934306569344,0.2504111572545119,0.7643392701143693,0.6973553929360914
3,0.8,0.05,5,200,0.6323851203501094,0.1964649898028552,0.29979253112033194,0.25161692409400593,0.76586876118216,0.6902871490118676
7,0.8,0.1,5,200,0.6083150984682714,0.20456217807211186,0.30616740088105726,0.2427023207925696,0.757143995920114,0.6890105530688182
12,1.0,0.05,5,350,0.6083150984682714,0.20159535895576505,0.3028322440087146,0.2420790084263915,0.7586548403427626,0.6868801738613193
4,0.8,0.05,5,350,0.6061269146608315,0.20204230488694383,0.30306345733041573,0.24484126905176262,0.7606957156535789,0.686531714680224
15,1.0,0.1,5,200,0.5951859956236324,0.19941348973607037,0.29873695771554093,0.24346436067192684,0.7593885858291091,0.6812742930823743
16,1.0,0.1,5,350,0.5470459518599562,0.19904458598726116,0.29188558085230587,0.2303059013515346,0.7474076501591025,0.6663649017927817
8,0.8,0.1,5,350,0.5404814004376368,0.19681274900398407,0.2885514018691589,0.22862108393730377,0.7442745476090805,0.6628695881608722
